Entity,Code,Year,Legal equality index
Turkmenistan,TKM,2026,18.02
Tuvalu,TUV,2026,23.65
Uganda,UGA,2026,0.56
Ukraine,UKR,2026,58.18
United Arab Emirates,ARE,2026,0.43
United Kingdom,GBR,2026,82.08
United States,USA,2026,79.72
Upper-middle-income countries,OWID_UMC,2026,44.208786
Uruguay,URY,2026,100
Uzbekistan,UZB,2026,21.2
Vanuatu,VUT,2026,44.78
Venezuela,VEN,2026,48.33
Vietnam,VNM,2026,50
World,OWID_WRL,2026,42.754494
Yemen,YEM,2026,4
Zambia,ZMB,2026,7.87
Zimbabwe,ZWE,2026,14.48
